city,date,temp_max,temp_min,precipitation
New_York,2025-10-12,16.8,13.0,12.9
New_York,2025-10-13,15.8,13.6,32.2
New_York,2025-10-14,15.4,12.7,0.0
New_York,2025-10-15,19.5,12.0,0.0
New_York,2025-10-16,16.2,8.3,0.0
New_York,2025-10-17,15.9,8.3,0.0
New_York,2025-10-18,18.0,10.5,0.0
Los_Angeles,2025-10-12,26.4,15.0,0.0
Los_Angeles,2025-10-13,21.0,14.3,0.4
Los_Angeles,2025-10-14,18.3,14.2,4.4
Los_Angeles,2025-10-15,20.9,15.2,0.1
Los_Angeles,2025-10-16,24.4,16.6,0.0
Los_Angeles,2025-10-17,27.0,18.8,0.0
Los_Angeles,2025-10-18,27.5,19.7,0.0
Chicago,2025-10-12,18.0,10.0,0.0
Chicago,2025-10-13,20.0,10.6,0.0
Chicago,2025-10-14,19.0,15.2,0.0
Chicago,2025-10-15,16.2,12.9,0.7
Chicago,2025-10-16,18.8,12.9,0.0
Chicago,2025-10-17,22.7,15.0,0.0
Chicago,2025-10-18,19.2,15.2,7.2
